CBB Team Link,KP Team Name,Team_Alias
abilene-christian,Abilene Christian,Abilene Christian
air-force,Air Force,Air Force
akron,Akron,Akron
alabama,Alabama,Alabama
alabama-am,Alabama A&M,Alabama Am
alabama-am,Alabama A&M,Alabama A&M
alabama-birmingham,UAB,UAB
alabama-birmingham,UAB,Alabama Birmingham
alabama-state,,Alabama St.
alabama-state,Alabama St.,Alabama State
albany-ny,Albany,Albany Ny
albany-ny,Albany,Albany
albany-ny,Albany NY,Albany (NY)
alcorn-state,Alcorn St.,Alcorn State
alcorn-state,,Alcorn St.
american,American,American
appalachian-state,,Appalachian St.
appalachian-state,Appalachian St.,Appalachian State
arizona,Arizona,Arizona
arizona-state,,Arizona St.
arizona-state,Arizona St.,Arizona State
arkansas,Arkansas,Arkansas
arkansas-little-rock,Arkansas Little Rock,Little Rock
arkansas-little-rock,Little Rock,
arkansas-little-rock,Arkansas Little Rock,Arkansas Little Rock
arkansas-pine-bluff,Arkansas Pine Bluff,Arkansas Pine Bluff
arkansas-pine-bluff,Arkansas Pine Bluff,Arkansas-Pine Bluff
arkansas-state,,Arkansas St.
arkansas-state,Arkansas St.,Arkansas State
army,Army,Army
auburn,Auburn,Auburn
austin-peay,Austin Peay,Austin Peay
ball-state,Ball St.,Ball State
ball-state,,Ball St.
baylor,Baylor,Baylor
bellarmine,Bellarmine,Bellarmine
belmont,Belmont,Belmont
bethune-cookman,Bethune Cookman,Bethune Cookman
bethune-cookman,Bethune Cookman,Bethune-Cookman
binghamton,Binghamton,Binghamton
boise-state,,Boise St.
boise-state,Boise St.,Boise State
boston-college,Boston College,Boston College
boston-university,Boston University,Boston University
bowling-green-state,,Bowling Green St.
bowling-green-state,,Bowling Green
bowling-green-state,Bowling Green,Bowling Green State
bradley,Bradley,Bradley
brigham-young,,BYU
brigham-young,BYU,Brigham Young
brown,Brown,Brown
bryant,Bryant,Bryant
bucknell,Bucknell,Bucknell
buffalo,Buffalo,Buffalo
butler,Butler,Butler
cal-poly,Cal Poly,Cal Poly
cal-state-bakersfield,,Cal St. Bakersfield
cal-state-bakersfield,Cal St. Bakersfield,Cal State Bakersfield
cal-state-fullerton,,Cal St. Fullerton
cal-state-fullerton,Cal St. Fullerton,Cal State Fullerton
cal-state-northridge,,Cal St. Northridge
cal-state-northridge,Cal St. Northridge,Cal State Northridge
cal-state-northridge,CSUN,CSUN
california,California,California
california-baptist,,Cal Baptist
california-baptist,Cal Baptist,California Baptist
california-davis,California Davis,California Davis
california-davis,UC Davis,UC Davis
california-irvine,California Irvine,California Irvine
california-irvine,UC Irvine,UC Irvine
california-riverside,UC Riverside,California Riverside
california-riverside,California Riverside,UC Riverside
california-san-diego,California San Diego,California San Diego
california-san-diego,,UC-San Diego
california-san-diego,UC San Diego,UC San Diego
california-santa-barbara,UC Santa Barbara,California Santa Barbara
california-santa-barbara,UC Santa Barbara,UC Santa Barbara
campbell,Campbell,Campbell
canisius,Canisius,Canisius
centenary-la,,Centenary La
centenary-la,,Centenary   
centenary-la,Centenary,Centenary (LA)
central-arkansas,Central Arkansas,Central Arkansas
central-connecticut-state,,Central Connecticut
central-connecticut-state,,Central Connecticut St.
central-connecticut-state,Central Connecticut,Central Connecticut State
central-florida,Central Florida,Central Florida
central-florida,UCF,UCF
central-michigan,Central Michigan,Central Michigan
charleston-southern,Charleston Southern,Charleston Southern
charlotte,Charlotte,Charlotte
chattanooga,Chattanooga,Chattanooga
chicago-state,,Chicago St.
chicago-state,Chicago St.,Chicago State
cincinnati,Cincinnati,Cincinnati
citadel,Citadel,Citadel
citadel,The Citadel,The Citadel
clemson,Clemson,Clemson
cleveland-state,,Cleveland St.
cleveland-state,Cleveland St.,Cleveland State
coastal-carolina,Coastal Carolina,Coastal Carolina
colgate,Colgate,Colgate
college-of-charleston,College of Charleston,College of Charleston  
college-of-charleston,Charleston,Charleston  
colorado,Colorado,Colorado
colorado-state,,Colorado St.
colorado-state,Colorado St.,Colorado State
columbia,Columbia,Columbia
connecticut,,UConn
connecticut,Connecticut,Connecticut
coppin-state,Coppin St.,Coppin St.
coppin-state,Coppin St.,Coppin State
cornell,Cornell,Cornell
creighton,Creighton,Creighton
dartmouth,Dartmouth,Dartmouth
davidson,Davidson,Davidson
dayton,Dayton,Dayton
delaware,Delaware,Delaware
delaware-state,Delaware State,Delaware State
delaware-state,Delaware St.,Delaware St.
denver,Denver,Denver
depaul,DePaul,Depaul
detroit-mercy,Detroit,Detroit
detroit-mercy,Detroit Mercy,Detroit Mercy
dixie-state,Dixie St.,Dixie St.
dixie-state,Utah Tech,Utah Tech
drake,Drake,Drake
drexel,Drexel,Drexel
duke,Duke,Duke
duquesne,Duquesne,Duquesne
east-carolina,East Carolina,East Carolina
east-tennessee-state,,East Tennessee St.
east-tennessee-state,East Tennessee St.,East Tennessee State
eastern-illinois,Eastern Illinois,Eastern Illinois
eastern-kentucky,Eastern Kentucky,Eastern Kentucky
eastern-michigan,Eastern Michigan,Eastern Michigan
eastern-washington,Eastern Washington,Eastern Washington
elon,Elon,Elon
evansville,Evansville,Evansville
fairfield,Fairfield,Fairfield
fairleigh-dickinson,,Fairleigh Dickinson
fairleigh-dickinson,Fairleigh Dickinson,FDU
florida,Florida,Florida
florida-am,Florida Am,Florida Am
florida-am,Florida A&M,Florida A&M
florida-atlantic,Florida Atlantic,Florida Atlantic
florida-gulf-coast,Florida Gulf Coast,Florida Gulf Coast
florida-international,,FIU
florida-international,FIU,Florida International
florida-state,,Florida St.
florida-state,Florida St.,Florida State
fordham,Fordham,Fordham
fresno-state,,Fresno St.
fresno-state,Fresno St.,Fresno State
furman,Furman,Furman
gardner-webb,Gardner-Webb,Gardner Webb
gardner-webb,Gardner Webb,Gardner-Webb
george-mason,George Mason,George Mason
george-washington,George Washington,George Washington
georgetown,Georgetown,Georgetown
georgia,Georgia,Georgia
georgia-southern,Georgia Southern,Georgia Southern
georgia-state,,Georgia St.
georgia-state,Georgia St.,Georgia State
georgia-tech,Georgia Tech,Georgia Tech
gonzaga,Gonzaga,Gonzaga
grambling,,Grambling St.
grambling,,Grambling State
grambling,Grambling St.,Grambling
grand-canyon,Grand Canyon,Grand Canyon
green-bay,Green Bay,Green Bay
hampton,Hampton,Hampton
harvard,Harvard,Harvard
hawaii,Hawaii,Hawaii
high-point,High Point,High Point
hofstra,Hofstra,Hofstra
holy-cross,Holy Cross,Holy Cross
houston,Houston,Houston
houston-baptist,Houston Christian,Houston Baptist
houston-baptist,Houston Baptist,Houston Christian
hartford,Hartford,Hartford
howard,Howard,Howard
idaho,Idaho,Idaho
idaho-state,,Idaho St.
idaho-state,Idaho St.,Idaho State
illinois,Illinois,Illinois
illinois-chicago,Illinois-Chicago,Illinois Chicago
illinois-chicago,Illinois Chicago,Illinois-Chicago
illinois-state,,Illinois St.
illinois-state,Illinois St.,Illinois State
incarnate-word,Incarnate Word,Incarnate Word
indiana,Indiana,Indiana
indiana-state,,Indiana St.
indiana-state,Indiana St.,Indiana State
iona,Iona,Iona
iowa,Iowa,Iowa
iowa-state,,Iowa St.
iowa-state,Iowa St.,Iowa State
ipfw,Fort Wayne,Purdue Fort Wayne
ipfw,IPFW,IPFW
ipfw,Purdue Fort Wayne,Fort Wayne
iupui,IUPUI,IU Indy
iupui,,IUPUI
iupui,IU Indy,IU Indy
jackson-state,Jackson St.,Jackson State
jackson-state,,Jackson St.
jacksonville,Jacksonville,Jacksonville
jacksonville-state,,Jacksonville St.
jacksonville-state,Jacksonville St.,Jacksonville State
james-madison,James Madison,James Madison
kansas,Kansas,Kansas
kansas-state,Kansas St.,Kansas State
